name_of_run,tplh,tphl,trise,tfall,avgp,avgp_rise,avgp_fall,avgp_leakage_out_1,avgp_leakage_out_0
W=1.4u all,3.2600e-09,1.5386e-09,7.4158e-09,2.7038e-09,-2.5499e-04,-1.1849e-03,-1.1050e-05,-3.5800e-05,-8.8587e-05
W=1.4u & INV 2:1,1.6266e-09,1.5963e-09,3.5996e-09,2.7070e-09,-2.5902e-04,-2.4317e-03,-1.4234e-05,-3.4398e-05,-9.1204e-05
W=1.4u & INV 3:1,1.1422e-09,1.6539e-09,2.3862e-09,2.7106e-09,-2.6166e-04,-3.6742e-03,-1.7700e-05,-3.4416e-05,-8.9540e-05
W=1.4u & INV 4:1,9.2143e-10,1.7119e-09,1.7965e-09,2.7147e-09,-2.6433e-04,-4.8923e-03,-2.1313e-05,-3.4443e-05,-8.7806e-05
W=1.4u & 2:1,1.6339e-09,1.5695e-09,3.5996e-09,2.7036e-09,-2.7867e-04,-2.4316e-03,-1.3774e-05,-6.2013e-05,-1.3334e-04
W=1.4u & 3:1,1.1542e-09,1.6077e-09,2.3862e-09,2.7048e-09,-2.9878e-04,-3.6745e-03,-1.8426e-05,-8.7211e-05,-1.7073e-04
W=1.4u & 4:1,1.1542e-09,1.6077e-09,2.3862e-09,2.7048e-09,-2.9878e-04,-3.6745e-03,-1.8426e-05,-8.7211e-05,-1.7073e-04
W=2.8u & 2:1,8.6380e-10,9.0868e-10,1.7891e-09,1.3388e-09,-3.5133e-04,-4.8975e-03,-8.4189e-05,-1.2587e-04,-2.7115e-04
W=2.8u & 3:1,6.5326e-10,9.4594e-10,1.2092e-09,1.3399e-09,-3.9138e-04,-7.2862e-03,-1.1173e-04,-1.7622e-04,-3.4536e-04
2:1 W=1.4u & INV 3:1 W=2.8u,7.7796e-10,1.0302e-09,1.2326e-09,1.3511e-09,-2.8987e-04,-7.2006e-03,-9.6294e-05,-6.2049e-05,-1.1786e-04
3:1 W=1.4u & INV 3:1 W=2.8u,7.8504e-10,1.0078e-09,1.2328e-09,1.3441e-09,-3.0544e-04,-7.2005e-03,-9.5469e-05,-8.7273e-05,-1.5149e-04
Otimizado W=1.4u & 2:1,6.6044e-10,7.6511e-10,1.2105e-09,-3.9854e-08,-3.2779e-04,-7.3048e-03,-2.6319e-04,-1.3341e-04,-1.8585e-04
Otimizado W=1.4u & 3:1,5.4397e-10,7.7781e-10,8.4032e-10,9.1407e-10,-3.5804e-04,-1.0683e-02,-2.6657e-04,-1.8540e-04,-2.2653e-04
Otimizado W=1.4u & 2:1 & INV 3:1,5.4025e-10,8.4527e-10,8.4036e-10,9.3860e-10,-3.3813e-04,-1.0693e-02,-3.4812e-04,-1.3334e-04,-1.8369e-04
