name_of_run,tplh,tphl,trise,tfall,avgp,avgp_rise,avgp_fall,avgp_leakage_out_1,avgp_leakage_out_0
Otimo,4.6242e-11,4.5120e-11,7.7150e-11,6.1545e-11,-2.2117e-06,-5.2247e-05,-7.9829e-07,-6.4909e-08,-4.1469e-07
Quasi-otimo,4.6784e-11,4.3265e-11,7.7164e-11,6.1134e-11,-2.2429e-06,-5.2214e-05,-6.5993e-07,-9.5755e-08,-4.4355e-07
Quasi-otimo grande,4.6784e-11,4.3265e-11,7.7164e-11,6.1134e-11,-2.2429e-06,-5.2214e-05,-6.5993e-07,-9.5755e-08,-4.4355e-07
NFIN = 1,1.1078e-10,9.8986e-11,2.2803e-10,1.8154e-10,-2.0489e-06,-1.7621e-05,-6.7917e-08,-4.5547e-07,-2.4960e-07
NFIN = 2,6.1069e-11,5.6823e-11,1.1468e-10,9.1319e-11,-2.2164e-06,-3.4955e-05,-2.6630e-07,-7.9575e-08,-4.9897e-07
NFIN = 3,4.4583e-11,4.2729e-11,7.7019e-11,6.0944e-11,-2.3823e-06,-5.2298e-05,-6.3725e-07,-1.0162e-07,-7.4888e-07
NFIN = 1 & INV NFIN = 2,6.5188e-11,5.8639e-11,1.1486e-10,9.1512e-11,-2.0746e-06,-3.4886e-05,-2.8655e-07,-4.8932e-08,-2.2692e-07
NFIN = 1 & INV NFIN = 3,5.2043e-11,4.6454e-11,7.7730e-11,6.1514e-11,-2.1067e-06,-5.1852e-05,-7.7527e-07,-3.7402e-08,-2.2578e-07
NFIN = 2 & INV NFIN = 3,4.6781e-11,4.3834e-11,7.7164e-11,6.1251e-11,-2.2394e-06,-5.2215e-05,-6.7366e-07,-6.9292e-08,-4.6950e-07
NFIN = 2:1,6.3725e-11,1.0019e-10,1.1453e-10,1.8175e-10,-2.1118e-06,-3.4875e-05,-9.5578e-08,-7.8607e-08,-3.0836e-07
NFIN = 3:1,4.9109e-11,1.0193e-10,7.7301e-11,1.8199e-10,-2.1732e-06,-5.2054e-05,-1.2690e-07,-9.8681e-08,-3.6026e-07
NFIN = 2:1 & INV NFIN = 3,5.2765e-11,4.5181e-11,7.7784e-11,6.1519e-11,-2.1588e-06,-5.1724e-05,-7.1653e-07,-6.9920e-08,-2.8478e-07
NFIN = 3:1 & INV NFIN = 3,5.3399e-11,4.5401e-11,7.7669e-11,6.1335e-11,-2.1996e-06,-5.1876e-05,-8.0797e-07,-1.0195e-07,-3.3002e-07
